Entidade;Classe
Selandiano;Unidade_Cronoestratigrafica
Paleoceno Inferior;Unidade_Cronoestratigrafica
Daniano;Unidade_Cronoestratigrafica
Mesozoico;Unidade_Cronoestratigrafica
Cretáceo;Unidade_Cronoestratigrafica
Cretáceo Superior;Unidade_Cronoestratigrafica
Maastrichtiano;Unidade_Cronoestratigrafica
Maastrichtiano Superior;Unidade_Cronoestratigrafica
Maastrichtiano Inferior;Unidade_Cronoestratigrafica
Campaniano;Unidade_Cronoestratigrafica
Campaniano Superior;Unidade_Cronoestratigrafica
Campaniano Médio;Unidade_Cronoestratigrafica
Campaniano Inferior;Unidade_Cronoestratigrafica
Santoniano;Unidade_Cronoestratigrafica
Santoniano Superior;Unidade_Cronoestratigrafica
Santoniano Médio;Unidade_Cronoestratigrafica
Santoniano Inferior;Unidade_Cronoestratigrafica
Coniaciano;Unidade_Cronoestratigrafica
Coniaciano Superior;Unidade_Cronoestratigrafica
Coniaciano Médio;Unidade_Cronoestratigrafica
Coniaciano Inferior;Unidade_Cronoestratigrafica
Turoniano;Unidade_Cronoestratigrafica
Turoniano Superior;Unidade_Cronoestratigrafica
Turoniano Médio;Unidade_Cronoestratigrafica
Turoniano Inferior;Unidade_Cronoestratigrafica
Cenomaniano;Unidade_Cronoestratigrafica
Cenomaniano Superior;Unidade_Cronoestratigrafica
Cenomaniano Médio;Unidade_Cronoestratigrafica
Cenomaniano Inferior;Unidade_Cronoestratigrafica
Cretáceo Inferior;Unidade_Cronoestratigrafica
Albiano;Unidade_Cronoestratigrafica
Albiano Superior;Unidade_Cronoestratigrafica
Albiano Médio;Unidade_Cronoestratigrafica
Albiano Inferior;Unidade_Cronoestratigrafica
Aptiano;Unidade_Cronoestratigrafica
Aptiano Superior;Unidade_Cronoestratigrafica
Aptiano Inferior;Unidade_Cronoestratigrafica
Barremiano;Unidade_Cronoestratigrafica
Barremiano Superior;Unidade_Cronoestratigrafica
Barremiano Inferior;Unidade_Cronoestratigrafica
Hauteriviano;Unidade_Cronoestratigrafica
Hauteriviano Superior;Unidade_Cronoestratigrafica
Hauteriviano Inferior;Unidade_Cronoestratigrafica
Valanginiano;Unidade_Cronoestratigrafica
Valanginiano Superior;Unidade_Cronoestratigrafica
Valanginiano Inferior;Unidade_Cronoestratigrafica
Berriasiano;Unidade_Cronoestratigrafica
Berriasiano Superior;Unidade_Cronoestratigrafica
Berriasiano Médio;Unidade_Cronoestratigrafica
Berriasiano Inferior;Unidade_Cronoestratigrafica
Jurássico;Unidade_Cronoestratigrafica
Jurássico Superior;Unidade_Cronoestratigrafica
Tithoniano;Unidade_Cronoestratigrafica
Tithoniano Superior;Unidade_Cronoestratigrafica
Tithoniano Inferior;Unidade_Cronoestratigrafica
Kimmeridgiano;Unidade_Cronoestratigrafica
Kimmeridgiano Superior;Unidade_Cronoestratigrafica
Kimmeridgiano Inferior;Unidade_Cronoestratigrafica
Oxfordiano;Unidade_Cronoestratigrafica
Oxfordiano Superior;Unidade_Cronoestratigrafica
Oxfordiano Médio;Unidade_Cronoestratigrafica
Oxfordiano Inferior;Unidade_Cronoestratigrafica
Jurássico Médio;Unidade_Cronoestratigrafica
Calloviano;Unidade_Cronoestratigrafica
Calloviano Superior;Unidade_Cronoestratigrafica
Calloviano Médio;Unidade_Cronoestratigrafica
Calloviano Inferior;Unidade_Cronoestratigrafica
Bathoniano;Unidade_Cronoestratigrafica
Bathoniano Superior;Unidade_Cronoestratigrafica
Bathoniano Médio;Unidade_Cronoestratigrafica
Bathoniano Inferior;Unidade_Cronoestratigrafica
